Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set,IDT_ms_pred
105,0.085,2.56,76.98,9.63,1279.5,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.14417499999999997
106,0.036,2.56,76.98,10.39,1372.2,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.07972500000000002
107,1.002,0.64,78.5,10.33,1115.0,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.872675
110,0.524,0.64,78.5,9.26,1167.6,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.5742000000000003
113,0.206,0.64,78.5,9.57,1274.8,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.21680000000000008
114,0.118,0.64,78.5,9.94,1346.6,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.12835000000000002
115,0.074,0.64,78.5,10.32,1420.7,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.07429999999999977
118,0.93,1.27,78.0,9.72,1086.8,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.9327249999999998
120,0.408,1.27,78.0,10.31,1164.4,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.43323500000000004
122,0.116,1.27,78.0,10.24,1313.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.13885000000000008
124,0.054,1.27,78.0,9.88,1441.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.06867500000000003
