Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set,IDT_ms_pred
86,0.242,1.3,77.98,9.56,1177.6,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.3779250000000001
87,0.174,1.3,77.98,10.05,1224.6,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.23428250000000014
90,0.063,1.3,77.98,10.8,1306.3,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.10053000000000004
93,0.933,2.56,76.98,2.1,1182.7,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.8994250000000001
96,0.434,2.56,76.98,2.0,1300.2,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.37547499999999995
98,0.175,2.56,76.98,2.0,1402.6,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.17325000000000002
99,0.142,2.56,76.98,2.08,1487.5,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.11752499999999999
100,0.092,2.56,76.98,1.98,1544.4,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.11552500000000002
101,1.875,2.56,76.98,9.68,1020.8,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,1.6778537500000004
103,0.338,2.56,76.98,9.38,1136.9,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.6848000000000001
104,0.151,2.56,76.98,10.38,1218.1,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.21669500000000008
105,0.085,2.56,76.98,9.63,1279.5,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.15207500000000004
106,0.036,2.56,76.98,10.39,1372.2,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.04727500000000001
107,1.002,0.64,78.5,10.33,1115.0,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.8593599999999999
110,0.524,0.64,78.5,9.26,1167.6,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.5347000000000003
113,0.206,0.64,78.5,9.57,1274.8,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.20412500000000003
114,0.118,0.64,78.5,9.94,1346.6,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.111675
115,0.074,0.64,78.5,10.32,1420.7,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.06750499999999994
118,0.93,1.27,78.0,9.72,1086.8,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,1.0728499999999999
120,0.408,1.27,78.0,10.31,1164.4,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.39122499999999993
122,0.116,1.27,78.0,10.24,1313.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.11725000000000003
123,0.086,1.27,78.0,9.49,1367.3,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.07890000000000001
124,0.054,1.27,78.0,9.88,1441.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.057824999999999994
126,0.948,2.5,77.03,10.34,1063.3,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,1.1092600000000004
127,0.446,2.5,77.03,10.77,1132.2,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.5656350000000002
128,0.276,2.5,77.03,9.73,1186.5,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.35609999999999986
130,0.07,2.5,77.03,9.82,1388.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.07315000000000002
131,0.052,2.5,77.03,10.61,1437.0,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.06759249999999972
132,0.04,2.5,77.03,10.56,1486.1,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.04862500000000007
133,1.17,0.64,78.5,9.85,1093.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,1.2436000000000003
135,0.5,0.64,78.5,10.25,1161.9,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.48440250000000024
137,0.25,0.64,78.5,10.01,1260.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.22608000000000006
138,0.166,0.64,78.5,10.26,1315.4,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.14059749999999996
140,0.098,0.64,78.5,10.09,1405.7,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.08511249999999997
141,0.069,0.64,78.5,9.59,1470.2,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.06722500000000002
144,0.835,1.27,78.0,9.84,1091.0,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,1.0273875000000003
145,0.464,1.27,78.0,10.12,1155.7,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.4266825000000003
147,0.222,1.27,78.0,10.02,1251.1,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.2127250000000001
148,0.16,1.27,78.0,10.03,1301.8,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.13879999999999998
149,0.108,1.27,78.0,9.97,1357.9,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.09540000000000003
150,0.068,1.27,78.0,10.5,1431.9,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.06294999999999999
151,0.044,1.27,78.0,10.24,1517.0,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.056225000000000004
152,0.705,2.5,77.03,10.05,1082.1,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.9738599999999998
155,0.321,2.5,77.03,10.34,1165.2,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.39330999999999994
156,0.184,2.5,77.03,10.06,1253.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.20282500000000014
157,0.107,2.5,77.03,9.8,1348.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.08280000000000005
