Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set
247,0.514,2.47,20.48,77.05,3.3,1248.5,2.0,Training
248,1.418,2.47,20.48,77.05,3.27,1137.1,2.0,Training
249,0.39,2.47,20.48,77.05,2.9,1281.7,2.0,Validation
250,0.251,2.47,20.48,77.05,3.16,1328.5,2.0,Training
251,0.166,2.47,20.48,77.05,2.97,1394.6,2.0,Training
252,0.08,2.47,20.48,77.05,3.11,1474.3,2.0,Validation
254,0.81,2.47,20.48,77.05,2.92,1187.0,2.0,Training
255,0.346,2.47,20.48,77.05,9.43,1171.8,2.0,Validation
256,0.482,2.47,20.48,77.05,10.97,1115.8,2.0,Validation
257,1.021,2.47,20.48,77.05,10.34,1063.5,2.0,Validation
258,0.166,2.47,20.48,77.05,10.85,1241.1,2.0,Training
259,0.056,2.47,20.48,77.05,10.22,1392.9,2.0,Validation
260,0.084,2.47,20.48,77.05,10.54,1329.8,2.0,Validation
261,0.278,2.47,20.48,77.05,10.2,1209.5,2.0,Training
262,1.519,0.64,20.86,78.5,2.95,1141.1,0.5,Training
263,0.849,0.64,20.86,78.5,3.03,1205.1,0.5,Validation
264,0.51,0.64,20.86,78.5,3.05,1259.3,0.5,Training
265,0.259,0.64,20.86,78.5,2.98,1320.9,0.5,Training
266,0.138,0.64,20.86,78.5,3.04,1409.0,0.5,Validation
267,0.071,0.64,20.86,78.5,2.9,1475.0,0.5,Training
268,1.54,0.64,20.86,78.5,10.03,1081.3,0.5,Training
269,0.985,0.64,20.86,78.5,9.57,1128.9,0.5,Validation
271,0.27,0.64,20.86,78.5,10.35,1248.8,0.5,Training
272,0.222,0.64,20.86,78.5,10.29,1276.1,0.5,Validation
273,0.145,0.64,20.86,78.5,10.43,1324.4,0.5,Training
274,0.093,0.64,20.86,78.5,9.7,1380.2,0.5,Training
275,0.068,0.64,20.86,78.5,9.84,1439.1,0.5,Training
276,1.18,1.27,20.73,78.0,3.02,1173.0,1.0,Training
277,0.997,1.27,20.73,78.0,2.94,1189.2,1.0,Validation
278,0.655,1.27,20.73,78.0,3.02,1224.0,1.0,Validation
279,0.326,1.27,20.73,78.0,2.94,1288.8,1.0,Training
281,0.124,1.27,20.73,78.0,3.04,1408.3,1.0,Training
282,0.06,1.27,20.73,78.0,3.0,1499.8,1.0,Validation
283,1.18,1.27,20.73,78.0,9.91,1096.4,1.0,Validation
284,0.57,1.27,20.73,78.0,9.93,1146.8,1.0,Validation
285,0.38,1.27,20.73,78.0,9.86,1192.8,1.0,Validation
286,0.226,1.27,20.73,78.0,9.98,1248.9,1.0,Training
287,0.17,1.27,20.73,78.0,9.99,1299.2,1.0,Training
288,0.099,1.27,20.73,78.0,10.2,1361.5,1.0,Validation
289,0.065,1.27,20.73,78.0,10.06,1423.7,1.0,Training
290,1.47,2.5,20.48,77.02,2.96,1143.8,2.0,Validation
291,0.974,2.5,20.48,77.02,2.91,1186.2,2.0,Validation
292,0.49,2.5,20.48,77.02,3.04,1257.0,2.0,Validation
293,0.299,2.5,20.48,77.02,2.96,1313.4,2.0,Validation
294,0.192,2.5,20.48,77.02,2.93,1365.5,2.0,Training
295,0.13,2.5,20.48,77.02,2.88,1414.1,2.0,Training
296,0.072,2.5,20.48,77.02,2.97,1494.4,2.0,Training
297,1.34,2.5,20.48,77.02,9.89,1045.8,2.0,Validation
298,0.783,2.5,20.48,77.02,10.08,1103.4,2.0,Validation
299,0.405,2.5,20.48,77.02,10.07,1173.3,2.0,Training
300,0.245,2.5,20.48,77.02,10.19,1224.4,2.0,Training
302,0.12,2.5,20.48,77.02,10.44,1323.9,2.0,Training
303,0.064,2.5,20.48,77.02,10.32,1419.0,2.0,Training
304,1.5,0.64,20.86,78.5,10.01,1100.6,0.5,Validation
305,0.734,0.64,20.86,78.5,9.92,1146.0,0.5,Validation
306,0.436,0.64,20.86,78.5,9.84,1191.6,0.5,Training
307,0.226,0.64,20.86,78.5,10.18,1269.8,0.5,Validation
308,0.152,0.64,20.86,78.5,10.26,1314.7,0.5,Validation
309,0.101,0.64,20.86,78.5,9.59,1373.2,0.5,Validation
310,0.062,0.64,20.86,78.5,10.49,1431.3,0.5,Training
311,0.048,0.64,20.86,78.5,10.33,1473.0,0.5,Validation
312,1.296,1.27,20.73,78.0,9.91,1076.0,1.0,Training
313,0.94,1.27,20.73,78.0,10.19,1109.3,1.0,Validation
315,0.302,1.27,20.73,78.0,10.18,1208.8,1.0,Validation
316,0.174,1.27,20.73,78.0,9.52,1272.5,1.0,Training
317,0.082,1.27,20.73,78.0,10.38,1357.2,1.0,Validation
318,0.057,1.27,20.73,78.0,10.12,1407.4,1.0,Validation
319,9.7,2.5,20.48,77.02,9.7,1087.3,2.0,Validation
320,9.57,2.5,20.48,77.02,9.57,1130.5,2.0,Validation
321,9.99,2.5,20.48,77.02,9.99,1199.8,2.0,Validation
322,10.14,2.5,20.48,77.02,10.14,1257.0,2.0,Validation
323,10.27,2.5,20.48,77.02,10.27,1335.4,2.0,Validation
325,10.05,2.5,20.48,77.02,10.05,1453.3,2.0,Training
326,1.339,0.64,20.87,78.5,9.97,1098.5,0.65,Training
327,0.959,0.64,20.87,78.5,10.5,1122.4,0.65,Training
328,0.616,0.64,20.87,78.5,9.29,1163.0,0.65,Training
329,0.304,0.64,20.87,78.5,9.8,1238.8,0.65,Training
330,0.104,0.64,20.87,78.5,10.18,1360.7,0.65,Training
331,0.064,0.64,20.87,78.5,9.68,1477.3,0.65,Training
332,1.288,1.27,20.73,78.0,9.43,1074.3,1.25,Training
333,0.548,1.27,20.73,78.0,10.01,1150.4,1.25,Training
334,0.344,1.27,20.73,78.0,10.27,1213.6,1.25,Training
335,0.174,1.27,20.73,78.0,9.92,1295.5,1.25,Training
336,0.089,1.27,20.73,78.0,10.08,1405.1,1.25,Training
337,0.053,1.27,20.73,78.0,9.91,1493.3,1.25,Training
338,1.215,2.5,20.48,77.03,10.18,1067.0,2.5,Training
339,0.684,2.5,20.48,77.03,10.14,1105.7,2.5,Training
340,0.266,2.5,20.48,77.03,10.12,1205.5,2.5,Training
341,0.119,2.5,20.48,77.03,10.12,1306.5,2.5,Training
342,0.04,2.5,20.48,77.03,9.85,1470.2,2.5,Training
343,1.592,0.64,20.87,78.5,9.71,1086.7,0.6,Training
344,0.754,0.64,20.87,78.5,9.77,1138.8,0.6,Training
345,0.504,0.64,20.87,78.5,9.55,1176.8,0.6,Training
346,0.298,0.64,20.87,78.5,9.7,1233.2,0.6,Validation
347,0.104,0.64,20.87,78.5,9.69,1330.9,0.6,Training
348,0.072,0.64,20.87,78.5,9.82,1388.7,0.6,Training
349,0.053,0.64,20.87,78.5,9.74,1432.2,0.6,Training
350,1.572,1.27,20.73,78.0,10.41,1066.5,1.2,Training
351,0.818,1.27,20.73,78.0,9.72,1112.2,1.2,Training
352,0.37,1.27,20.73,78.0,9.74,1187.0,1.2,Training
353,0.134,1.27,20.73,78.0,9.8,1288.6,1.2,Validation
354,0.055,1.27,20.73,78.0,9.82,1388.8,1.2,Training
355,1.802,2.5,20.48,77.03,10.27,1060.5,2.4,Training
356,0.902,2.5,20.48,77.03,10.16,1106.8,2.4,Training
357,0.354,2.5,20.48,77.03,9.92,1195.9,2.4,Training
359,0.124,2.5,20.48,77.03,10.56,1329.9,2.4,Training
360,0.054,2.5,20.48,77.03,9.69,1449.5,2.4,Training
361,7.565,0.346,20.94,78.72,21.1,892.0,0.25,Training
364,4.608,0.346,20.94,78.72,18.9,924.0,0.25,Training
365,2.722,0.346,20.94,78.72,19.1,953.0,0.25,Training
366,2.19,0.346,20.94,78.72,21.5,979.0,0.25,Training
367,1.525,0.346,20.94,78.72,21.3,1016.0,0.25,Training
368,1.067,0.346,20.94,78.72,18.7,1041.0,0.25,Training
369,1.094,0.346,20.94,78.72,22.3,1055.0,0.25,Training
370,0.823,0.346,20.94,78.72,21.1,1080.0,0.25,Training
373,0.45,0.346,20.94,78.72,20.7,1133.0,0.25,Training
374,0.272,0.346,20.94,78.72,20.9,1179.0,0.25,Training
375,0.153,0.346,20.94,78.72,21.1,1230.0,0.25,Training
376,0.101,0.346,20.94,78.72,20.4,1259.0,0.25,Training
377,0.075,0.346,20.94,78.72,20.5,1305.0,0.25,Training
379,3.035,0.689,20.86,78.45,20.8,743.0,0.5,Training
380,3.594,0.689,20.86,78.45,19.6,785.0,0.5,Training
381,2.941,0.689,20.86,78.45,21.4,830.0,0.5,Training
382,3.358,0.689,20.86,78.45,21.6,854.0,0.5,Training
383,3.202,0.689,20.86,78.45,18.3,879.0,0.5,Training
384,2.347,0.689,20.86,78.45,21.0,930.0,0.5,Training
385,2.165,0.689,20.86,78.45,20.1,950.0,0.5,Training
386,1.239,0.689,20.86,78.45,18.5,995.0,0.5,Training
387,1.163,0.689,20.86,78.45,19.8,1017.0,0.5,Training
388,0.997,0.689,20.86,78.45,17.5,1031.0,0.5,Training
389,0.863,0.689,20.86,78.45,20.1,1049.0,0.5,Validation
390,0.813,0.689,20.86,78.45,19.0,1052.0,0.5,Training
391,0.609,0.689,20.86,78.45,20.8,1083.0,0.5,Training
392,0.37,0.689,20.86,78.45,20.2,1113.0,0.5,Training
393,0.298,0.689,20.86,78.45,20.3,1125.0,0.5,Validation
394,0.196,0.689,20.86,78.45,21.0,1160.0,0.5,Training
395,0.18,0.689,20.86,78.45,19.0,1179.0,0.5,Training
396,0.156,0.689,20.86,78.45,22.5,1182.0,0.5,Training
398,0.107,0.689,20.86,78.45,20.5,1215.0,0.5,Training
399,0.069,0.689,20.86,78.45,21.8,1263.0,0.5,Training
401,0.056,0.689,20.86,78.45,21.4,1304.0,0.5,Training
402,9.648,1.368,20.72,77.91,8.0,848.0,1.0,Validation
403,7.204,1.368,20.72,77.91,7.7,866.0,1.0,Training
404,5.388,1.368,20.72,77.91,8.3,906.0,1.0,Validation
405,5.07,1.368,20.72,77.91,8.8,907.0,1.0,Training
406,3.564,1.368,20.72,77.91,8.4,949.0,1.0,Training
407,2.486,1.368,20.72,77.91,8.4,968.0,1.0,Validation
408,2.545,1.368,20.72,77.91,8.3,983.0,1.0,Training
409,1.921,1.368,20.72,77.91,8.4,1003.0,1.0,Validation
410,1.811,1.368,20.72,77.91,8.1,1018.0,1.0,Validation
411,1.616,1.368,20.72,77.91,7.9,1022.0,1.0,Training
413,0.617,1.368,20.72,77.91,8.0,1089.0,1.0,Training
414,0.538,1.368,20.72,77.91,7.8,1097.0,1.0,Validation
