Point,X_Fuel,X_O2,X_N2,X_Ar,X_He,P,T,PHI
155,2.5,20.48,77.03,0,0,9.48,1320.8,2
156,2.5,20.48,77.03,0,0,10.2,1373.5,2
157,0.64,20.87,78.5,0,0,10.33,1115,0.5
158,0.64,20.87,78.5,0,0,10.84,1137.6,0.5
159,0.64,20.87,78.5,0,0,9.81,1147.1,0.5
160,0.64,20.87,78.5,0,0,9.26,1167.6,0.5
161,0.64,20.87,78.5,0,0,9.81,1190,0.5
162,0.64,20.87,78.5,0,0,10.01,1230.4,0.5
163,0.64,20.87,78.5,0,0,9.57,1274.8,0.5
164,0.64,20.87,78.5,0,0,9.94,1346.6,0.5
165,0.64,20.87,78.5,0,0,10.32,1420.7,0.5
166,0.64,20.87,78.5,0,0,10.3,1521.3,0.5
167,1.27,20.73,78,0,0,10.27,1060.9,1
168,1.27,20.73,78,0,0,9.72,1086.8,1
169,1.27,20.73,78,0,0,10.13,1105.7,1
170,1.27,20.73,78,0,0,10.31,1164.4,1
171,1.27,20.73,78,0,0,9.48,1221.8,1
172,1.27,20.73,78,0,0,10.24,1313.9,1
173,1.27,20.73,78,0,0,9.49,1367.3,1
174,1.27,20.73,78,0,0,9.88,1441.9,1
175,2.5,20.48,77.03,0,0,10.25,1039.5,2
176,2.5,20.48,77.03,0,0,10.34,1063.3,2
177,2.5,20.48,77.03,0,0,10.77,1132.2,2
178,2.5,20.48,77.03,0,0,9.73,1186.5,2
179,2.5,20.48,77.03,0,0,9.73,1285.1,2
180,2.5,20.48,77.03,0,0,9.82,1388.9,2
181,2.5,20.48,77.03,0,0,10.61,1437,2
182,2.5,20.48,77.03,0,0,10.56,1486.1,2
183,0.64,20.87,78.5,0,0,9.85,1093.3,0.5
184,0.64,20.87,78.5,0,0,10.24,1111,0.5
185,0.64,20.87,78.5,0,0,10.25,1161.9,0.5
186,0.64,20.87,78.5,0,0,9.43,1227.4,0.5
187,0.64,20.87,78.5,0,0,10.01,1260.3,0.5
188,0.64,20.87,78.5,0,0,10.26,1315.4,0.5
189,0.64,20.87,78.5,0,0,10.5,1328.8,0.5
190,0.64,20.87,78.5,0,0,10.09,1405.7,0.5
191,0.64,20.87,78.5,0,0,9.59,1470.2,0.5
192,0.64,20.87,78.5,0,0,10.04,1502.8,0.5
193,1.27,20.73,78,0,0,10.55,1072.3,1
194,1.27,20.73,78,0,0,9.84,1091,1
195,1.27,20.73,78,0,0,10.12,1155.7,1
196,1.27,20.73,78,0,0,10.14,1207.1,1
197,1.27,20.73,78,0,0,10.02,1251.1,1
198,1.27,20.73,78,0,0,10.03,1301.8,1
199,1.27,20.73,78,0,0,9.97,1357.9,1
200,1.27,20.73,78,0,0,10.5,1431.9,1
201,1.27,20.73,78,0,0,10.24,1517,1
202,2.5,20.48,77.03,0,0,10.05,1082.1,2
203,2.5,20.48,77.03,0,0,10.35,1114.9,2
204,2.5,20.48,77.03,0,0,9.98,1148.9,2
205,2.5,20.48,77.03,0,0,10.34,1165.2,2
206,2.5,20.48,77.03,0,0,10.06,1253.3,2
207,2.5,20.48,77.03,0,0,9.8,1348.3,2
208,2.5,20.48,77.03,0,0,10.54,1443.5,2
209,2.5,20.48,77.03,0,0,9.91,1493.8,2
210,0.61,20.87,78.52,0,0,2.77,1155,0.5
211,0.61,20.87,78.52,0,0,2.84,1171.5,0.5
212,0.61,20.87,78.52,0,0,3.01,1202.1,0.5
213,0.61,20.87,78.52,0,0,3.22,1237.6,0.5
214,0.61,20.87,78.52,0,0,3.02,1304.5,0.5
215,0.61,20.87,78.52,0,0,3.2,1339.3,0.5
216,0.61,20.87,78.52,0,0,3.05,1411.6,0.5
217,0.61,20.87,78.52,0,0,3.01,1451.9,0.5
218,0.61,20.87,78.52,0,0,3.06,1513.3,0.5
219,0.61,20.87,78.52,0,0,11.2,1261.3,0.5
220,0.61,20.87,78.52,0,0,10.67,1234.3,0.5
221,0.61,20.87,78.52,0,0,10.01,1300.3,0.5
222,0.61,20.87,78.52,0,0,9.73,1087.5,0.5
223,0.61,20.87,78.52,0,0,8.79,1135.3,0.5
224,0.61,20.87,78.52,0,0,9.89,1392.7,0.5
225,0.61,20.87,78.52,0,0,9.98,1448.9,0.5
226,0.61,20.87,78.52,0,0,9.3,1144.2,0.5
227,0.61,20.87,78.52,0,0,9.84,1172,0.5
228,1.25,20.74,78.01,0,0,2.89,1181,1
229,1.25,20.74,78.01,0,0,3.17,1331.5,1
230,1.25,20.74,78.01,0,0,3.32,1466.8,1
231,1.25,20.74,78.01,0,0,2.73,1342.5,1
232,1.25,20.74,78.01,0,0,3,1499.3,1
233,1.25,20.74,78.01,0,0,3.26,1455.1,1
234,1.25,20.74,78.01,0,0,2.97,1293.7,1
235,1.25,20.74,78.01,0,0,3.24,1282.5,1
236,1.25,20.74,78.01,0,0,3.13,1221.3,1
237,1.25,20.74,78.01,0,0,3.1,1156,1
238,1.25,20.74,78.01,0,0,2.92,1383.1,1
239,1.25,20.74,78.01,0,0,10.67,1130.2,1
240,1.25,20.74,78.01,0,0,9.19,1158.2,1
241,1.25,20.74,78.01,0,0,10.38,1065.6,1
242,1.25,20.74,78.01,0,0,10.35,1319.8,1
243,1.25,20.74,78.01,0,0,10.26,1416.4,1
244,1.25,20.74,78.01,0,0,10.05,1202.8,1
245,1.25,20.74,78.01,0,0,9.91,1245.2,1
246,1.25,20.74,78.01,0,0,10.65,1389.2,1
247,2.47,20.48,77.05,0,0,3.3,1248.5,2
248,2.47,20.48,77.05,0,0,3.27,1137.1,2
249,2.47,20.48,77.05,0,0,2.9,1281.7,2
250,2.47,20.48,77.05,0,0,3.16,1328.5,2
251,2.47,20.48,77.05,0,0,2.97,1394.6,2
252,2.47,20.48,77.05,0,0,3.11,1474.3,2
253,2.47,20.48,77.05,0,0,3.09,1214.1,2
254,2.47,20.48,77.05,0,0,2.92,1187,2
255,2.47,20.48,77.05,0,0,9.43,1171.8,2
256,2.47,20.48,77.05,0,0,10.97,1115.8,2
257,2.47,20.48,77.05,0,0,10.34,1063.5,2
258,2.47,20.48,77.05,0,0,10.85,1241.1,2
259,2.47,20.48,77.05,0,0,10.22,1392.9,2
260,2.47,20.48,77.05,0,0,10.54,1329.8,2
261,2.47,20.48,77.05,0,0,10.2,1209.5,2
262,0.64,20.86,78.5,0,0,2.95,1141.1,0.5
263,0.64,20.86,78.5,0,0,3.03,1205.1,0.5
264,0.64,20.86,78.5,0,0,3.05,1259.3,0.5
265,0.64,20.86,78.5,0,0,2.98,1320.9,0.5
266,0.64,20.86,78.5,0,0,3.04,1409,0.5
267,0.64,20.86,78.5,0,0,2.9,1475,0.5
268,0.64,20.86,78.5,0,0,10.03,1081.3,0.5
269,0.64,20.86,78.5,0,0,9.57,1128.9,0.5
270,0.64,20.86,78.5,0,0,9.85,1192.5,0.5
271,0.64,20.86,78.5,0,0,10.35,1248.8,0.5
272,0.64,20.86,78.5,0,0,10.29,1276.1,0.5
273,0.64,20.86,78.5,0,0,10.43,1324.4,0.5
274,0.64,20.86,78.5,0,0,9.7,1380.2,0.5
275,0.64,20.86,78.5,0,0,9.84,1439.1,0.5
276,1.27,20.73,78,0,0,3.02,1173,1
277,1.27,20.73,78,0,0,2.94,1189.2,1
278,1.27,20.73,78,0,0,3.02,1224,1
