Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set,IDT_ms_pred
835,1.403,0.1206,4.0,0.0,12.82,1182.0,0.49,Training,1.5290000000000004
836,2.12,0.1231,4.0,0.0,13.0,1157.0,0.5,Training,2.2051999999999996
837,0.379,0.1206,4.0,0.0,12.24,1284.0,0.49,Training,0.49420000000000003
838,0.215,0.1182,4.0,0.0,12.16,1334.0,0.48,Training,0.31500000000000006
840,0.942,0.5095,4.0,0.0,12.27,1243.0,2.07,Training,0.8087999999999997
841,0.403,0.5268,4.0,0.0,11.87,1324.0,2.14,Training,0.403
842,1.967,0.5194,4.0,0.0,12.4,1169.0,2.11,Training,1.4463400000000002
844,0.4,0.5169,4.0,0.0,11.61,1330.0,2.1,Training,0.5083999999999999
845,0.822,0.3077,4.0,0.0,53.8,1110.0,1.25,Training,0.7089192000000001
846,0.599,0.2978,4.0,0.0,50.09,1147.0,1.21,Training,0.6436000000000002
847,0.253,0.2978,4.0,0.0,49.28,1235.0,1.21,Training,0.8313999999999999
848,1.573,0.2585,4.0,0.0,51.99,1067.0,1.05,Training,1.5284000000000004
849,2.613,0.2609,4.0,0.0,52.21,1030.0,1.06,Training,1.723800000000001
850,0.343,1.2637,20.7429,77.9934,11.25,1169.0,0.99,Training,0.343
851,0.793,1.1122,20.7747,78.113,11.89,1103.0,0.87,Training,0.7446
852,1.293,1.2007,20.7562,78.0432,12.8,1050.0,0.94,Training,1.2013999999999996
853,1.593,1.5402,20.6848,77.7749,11.35,1034.0,1.21,Training,1.6364
854,0.355,1.0996,20.7774,78.123,10.45,1174.0,0.86,Training,0.3458
855,0.357,1.2259,20.7509,78.0232,10.54,1162.0,0.96,Training,0.3554
856,1.385,1.2385,20.7482,78.0133,11.59,1052.0,0.97,Training,1.223
857,0.792,1.3141,20.7323,77.9536,11.25,1101.0,1.03,Training,0.7318
858,0.233,1.3015,20.735,77.9635,10.57,1201.0,1.02,Training,0.2552
859,0.125,0.4761,20.9084,78.6155,10.34,1256.0,0.37,Training,0.17939999999999973
860,0.43,0.5401,20.8949,78.565,11.2,1161.0,0.42,Training,0.47159999999999996
861,0.51,0.5273,20.8976,78.5751,10.9,1148.0,0.41,Training,0.5034
862,1.3,0.5145,20.9003,78.5852,11.42,1087.0,0.4,Training,1.1582
863,0.8,0.5273,20.8976,78.5751,11.28,1120.0,0.41,Training,0.8517600000000004
864,0.255,0.4889,20.9057,78.6054,10.57,1200.0,0.38,Training,0.25399999999999995
865,1.545,1.087,20.7801,78.133,14.8,1008.0,0.85,Training,1.4946
866,0.517,1.2637,20.7429,77.9934,14.1,1109.0,0.99,Training,0.5528
867,0.133,1.2385,20.7482,78.0133,13.0,1247.0,0.97,Training,0.1516
868,0.18,1.3519,20.7244,77.9237,34.11,1107.0,1.06,Training,0.15340000000000006
869,0.245,1.2007,20.7562,78.0432,34.59,1080.0,0.94,Training,0.275
870,0.415,1.4022,20.7138,77.884,35.95,1022.0,1.1,Training,0.4202
877,0.303,0.9554,21.0,0.0,15.8,1153.0,0.77,Training,0.33440000000000003
878,0.452,1.3897,21.0,0.0,16.6,1072.0,1.12,Training,0.5144000000000001
879,0.481,1.4517,21.0,0.0,17.05,1051.0,1.17,Training,0.5704
880,0.152,0.9182,21.0,0.0,15.7,1209.0,0.74,Training,0.2056
881,0.344,1.3276,21.0,0.0,16.4,1117.0,1.07,Training,0.41160000000000035
883,0.417,0.943,21.0,0.0,15.8,1110.0,0.76,Training,0.5014000000000003
884,0.274,1.551,21.0,0.0,16.35,1126.0,1.25,Training,0.4386000000000003
885,0.314,1.6254,21.0,0.0,16.6,1112.0,1.31,Training,0.274
887,0.8,0.2434,4.0,0.0,12.81,1239.0,1.03,Training,0.7608000000000001
888,1.673,0.2482,4.0,0.0,12.98,1190.0,1.05,Training,1.5750000000000002
889,0.523,0.234,4.0,0.0,12.39,1285.0,0.99,Training,0.523
891,0.267,0.2411,4.0,0.0,12.31,1356.0,1.02,Training,0.30679999999999996
892,0.17,0.2245,4.0,0.0,11.78,1411.0,0.95,Training,0.17880000000000004
893,0.363,0.2292,4.0,0.0,15.02,1318.0,0.97,Training,0.371
895,0.497,0.2411,4.0,0.0,15.33,1278.0,1.02,Training,0.504
896,0.76,0.2458,4.0,0.0,15.38,1229.0,1.04,Training,0.7754
897,2.094,0.234,4.0,0.0,15.93,1161.0,0.99,Training,2.1638
898,0.702,0.2363,4.0,0.0,12.65,1264.0,1.0,Training,0.702
899,1.535,0.2718,4.0,0.0,12.95,1199.0,1.15,Training,1.4308
900,0.164,0.208,4.0,0.0,1.28,1483.0,0.88,Training,0.1976
901,0.431,0.1938,4.0,0.0,1.34,1421.0,0.82,Training,0.3788
902,1.185,0.2434,4.0,0.0,1.35,1338.0,1.03,Training,1.0348000000000002
903,1.795,0.2647,4.0,0.0,1.38,1296.0,1.12,Training,1.8302
904,1.02,0.2623,4.0,0.0,1.33,1356.0,1.11,Training,0.8012000000000001
910,0.296,1.4435,20.7051,77.8513,11.61,1166.0,1.18,Training,0.3222
912,0.718,1.3591,20.7229,77.918,9.86,1109.0,1.11,Training,0.718
913,1.44,1.3832,20.7178,77.899,11.05,1031.0,1.13,Training,1.4754000000000003
914,0.115,1.2987,20.7356,77.9658,9.51,1253.0,1.06,Training,0.12860000000000002
915,0.21,1.3107,20.733,77.9562,10.24,1208.0,1.07,Training,0.22979999999999998
916,0.565,1.4194,20.7102,77.8704,11.03,1118.0,1.16,Training,0.4930000000000001
917,0.93,1.1897,20.7585,78.0518,11.65,1074.0,0.97,Training,0.8744000000000002
918,1.221,1.2745,20.7407,77.9849,15.2,1011.0,1.04,Training,1.1198000000000001
919,0.715,1.3712,20.7203,77.9085,14.4,1072.0,1.12,Training,0.7272
921,0.458,1.4957,21.0,0.0,17.2,1061.0,1.25,Training,0.5122000000000001
922,0.16,0.9573,21.0,0.0,15.8,1194.0,0.8,Training,0.2178000000000008
923,0.506,1.2444,21.0,0.0,17.1,1053.0,1.04,Training,0.5146000000000001
924,0.444,1.041,21.0,0.0,16.9,1085.0,0.87,Training,0.5678
925,0.416,1.3162,21.0,0.0,17.2,1082.0,1.1,Training,0.4324
926,1.754,0.2325,4.0,0.0,12.84,1185.0,1.02,Training,1.3434
927,2.623,0.2393,4.0,0.0,13.11,1147.0,1.05,Training,2.3592
930,0.32,0.2165,4.0,0.0,12.06,1342.0,0.95,Training,0.3360000000000001
931,0.237,0.2051,4.0,0.0,11.82,1386.0,0.9,Training,0.25060000000000004
932,2.275,0.253,4.0,0.0,15.7,1146.0,1.11,Training,2.2450000000000006
933,1.24,0.2462,4.0,0.0,15.45,1181.0,1.08,Training,1.5136000000000003
934,0.815,0.2621,4.0,0.0,15.26,1219.0,1.15,Training,0.9445999999999999
935,0.507,0.2142,4.0,0.0,15.17,1278.0,0.94,Training,0.5134000000000001
936,0.37,0.2416,4.0,0.0,14.95,1313.0,1.06,Training,0.37420000000000003
937,0.23,0.2644,4.0,0.0,14.99,1374.0,1.16,Training,0.242
938,1.381,1.323,20.7305,77.9466,12.63,1024.0,1.12,Training,1.4878
939,0.64,1.019,20.7943,78.1867,11.99,1118.0,0.86,Training,0.7692000000000004
941,0.199,1.4859,20.6962,77.8179,30.63,1092.0,1.26,Training,0.21760000000000002
942,0.517,1.0776,20.782,78.1404,32.36,1029.0,0.91,Training,0.43520000000000003
943,1.452,1.4045,20.7133,77.8822,15.3,999.0,1.19,Training,1.3048000000000002
944,0.498,1.4394,20.706,77.8546,14.6,1087.0,1.22,Training,0.462
945,1.285,1.4045,20.7133,77.8822,14.9,1015.0,1.19,Training,1.288
946,0.377,1.5323,20.6865,77.7812,14.0,1138.0,1.3,Training,0.3292
947,0.566,0.2508,4.0,0.0,12.51,1296.0,1.13,Training,0.6657999999999998
949,0.26,0.2419,4.0,0.0,12.35,1379.0,1.09,Training,0.26
950,0.192,0.2308,4.0,0.0,12.26,1410.0,1.04,Training,0.192
952,1.228,0.1997,4.0,0.0,12.96,1209.0,0.9,Training,1.0277999999999998
954,1.065,0.2352,4.0,0.0,12.99,1216.0,1.06,Training,0.8798
957,0.061,0.1975,4.0,0.0,1.09,1610.0,0.89,Training,0.09960000000000001
960,0.515,0.2508,4.0,0.0,1.14,1436.0,1.13,Training,0.515
962,0.231,0.324,4.0,0.0,1.09,1537.0,1.46,Training,0.1884
963,0.053,0.2996,4.0,0.0,1.14,1694.0,1.35,Training,0.0964
964,0.349,1.2545,20.7449,78.0007,10.8,1152.0,1.09,Training,0.3836
965,1.703,1.3566,20.7234,77.92,11.99,1010.0,1.18,Training,1.5206000000000002
966,0.806,1.0837,20.7807,78.1356,11.24,1091.0,0.94,Training,0.8556000000000001
967,0.144,1.1179,20.7735,78.1085,10.24,1233.0,0.97,Training,0.1724
969,0.174,0.2124,4.0,0.0,1.16,1508.0,1.01,Training,0.14500000000000002
970,0.041,0.1934,4.0,0.0,1.22,1608.0,0.92,Training,0.051200000000000905
972,0.157,0.2418,4.0,0.0,1.26,1512.0,1.15,Training,0.14500000000000002
973,0.382,0.1871,4.0,0.0,1.21,1442.0,0.89,Training,0.3468
974,0.671,0.1955,4.0,0.0,1.28,1385.0,0.93,Training,0.6230000000000001
975,0.088,0.1934,4.0,0.0,1.23,1572.0,0.92,Training,0.1312
976,1.883,0.2145,4.0,0.0,1.43,1284.0,1.02,Training,1.611
977,1.277,1.0598,20.7858,78.1545,11.85,1030.0,0.97,Training,1.3900000000000001
978,0.309,1.0057,20.7971,78.1972,10.65,1174.0,0.92,Training,0.325
979,1.037,1.049,20.788,78.163,11.21,1084.0,0.96,Training,0.8958
981,0.249,1.1354,20.7699,78.0947,10.47,1196.0,1.04,Training,0.2894
983,20.07,0.51,9.9,89.59,16.641,841.7,1.0,Training,20.360000000000003
984,21.52,0.51,9.9,89.59,17.027,847.4,1.0,Training,20.758
985,24.42,0.51,9.9,89.59,17.035,847.6,1.0,Training,19.996000000000006
986,17.71,0.51,9.9,89.59,17.527,856.7,1.0,Training,18.654000000000003
987,20.07,0.51,9.9,89.59,17.877,862.6,1.0,Training,16.860999999999997
988,11.45,0.51,9.9,89.59,16.935,886.7,1.0,Training,11.88
990,7.34,0.51,9.9,89.59,16.399,924.7,1.0,Training,8.162
992,4.24,0.51,9.9,89.59,18.325,962.6,1.0,Training,4.422
993,5.15,0.51,9.9,89.59,18.889,973.4,1.0,Training,4.484000000000001
994,4.08,0.51,9.9,89.59,16.167,982.9,1.0,Training,3.8420000000000005
996,2.42,0.51,9.9,89.59,14.306,1021.0,1.0,Training,2.1302
997,1.85,0.51,9.9,89.59,17.014,1042.3,1.0,Training,2.1165999999999996
999,1.35,0.51,9.9,89.59,16.452,1078.5,1.0,Training,1.5640000000000003
1000,1.4,0.51,9.9,89.59,14.461,1078.9,1.0,Training,1.5440000000000003
1001,0.92542,0.51,9.9,89.59,15.731,1128.2,1.0,Training,1.018688
1002,0.53416,0.51,9.9,89.59,16.495,1210.6,1.0,Training,0.47711620000000005
1003,0.36966,0.51,9.9,89.59,16.06,1271.9,1.0,Training,0.337628
1005,0.18554,0.51,9.9,89.59,16.666,1388.9,1.0,Training,0.17177200000000004
1006,0.11695,0.51,9.9,89.59,18.31,1448.5,1.0,Training,0.10722800000000002
1007,0.06834,0.51,9.9,89.59,18.176,1508.7,1.0,Training,0.06834
1009,0.0269614,0.51,9.9,89.59,19.002,1712.1,1.0,Training,0.03950474
1010,7.94,1.0,9.8,89.2,16.9702,893.9,2.0,Training,8.642000000000005
1011,6.34,1.0,9.8,89.2,17.059,922.7,2.0,Training,6.5840000000000005
1012,4.67,1.0,9.8,89.2,17.9277,944.8,2.0,Training,4.190000000000004
1013,4.12,1.0,9.8,89.2,18.2491,977.0,2.0,Training,3.007
1014,3.25,1.0,9.8,89.2,15.5522,999.2,2.0,Training,2.6976
1015,2.0,1.0,9.8,89.2,15.9807,1038.3,2.0,Training,1.818
1016,1.48,1.0,9.8,89.2,14.125,1072.5,2.0,Training,1.2324
1018,1.2,1.0,9.8,89.2,16.1363,1075.8,2.0,Training,1.1203999999999998
1019,0.925596,1.0,9.8,89.2,16.4639,1109.8,2.0,Training,0.7622384000000003
1020,0.784838,1.0,9.8,89.2,16.3371,1134.8,2.0,Training,0.7042220000000001
1021,0.71721,1.0,9.8,89.2,13.6671,1175.3,2.0,Training,0.7593080000000001
1022,0.691245,1.0,9.8,89.2,15.6458,1180.2,2.0,Training,0.6964380000000001
1023,0.590361,1.0,9.8,89.2,14.2725,1193.6,2.0,Training,0.6020934000000001
1024,0.468979,1.0,9.8,89.2,14.3536,1267.7,2.0,Training,0.4932554
1026,0.373901,1.0,9.8,89.2,16.1852,1257.2,2.0,Training,0.3704284
1027,0.299207,1.0,9.8,89.2,16.7093,1296.3,2.0,Training,0.28232
1028,0.269318,1.0,9.8,89.2,17.7899,1309.6,2.0,Training,0.18738891999999985
1030,0.219633,1.0,9.8,89.2,16.6895,1351.9,2.0,Training,0.17486832
1031,0.18499,1.0,9.8,89.2,14.5907,1402.5,2.0,Training,0.13385096000000002
1032,0.118375,1.0,9.8,89.2,15.8992,1458.7,2.0,Training,0.08987302
1033,0.0959756,1.0,9.8,89.2,11.39,1552.0,2.0,Training,0.07225641999992016
1034,0.0718422,1.0,9.8,89.2,17.7198,1531.5,2.0,Training,0.06930253999992016
1036,0.0491892,1.0,9.8,89.2,15.5223,1586.9,2.0,Training,0.04865537999992016
1037,0.0482995,1.0,9.8,89.2,15.9881,1607.2,2.0,Training,0.04829949999992016
1039,0.0344198,1.0,9.8,89.2,16.3754,1626.6,2.0,Training,0.03997167999991259
1040,0.467,1.224,20.751,78.025,11.1,1138.0,1.0,Training,0.5012000000000001
1041,0.457,1.224,20.751,78.025,10.7,1148.0,1.0,Training,0.4392
1043,0.458,1.224,20.751,78.025,10.1,1162.0,1.0,Training,0.3946
1045,0.24,1.224,20.751,78.025,9.9,1214.0,1.0,Training,0.2876
1046,0.222,1.224,20.751,78.025,9.7,1222.0,1.0,Training,0.2292
1047,0.802,1.224,20.751,78.025,10.3,1099.0,1.0,Training,0.7436800000000001
1048,1.561,1.224,20.751,78.025,9.3,1046.0,1.0,Training,1.3831999999999998
1049,0.367,1.224,20.751,78.025,10.6,1176.0,1.0,Training,0.39020000000000005
1050,0.348,1.224,20.751,78.025,12.3,1156.0,1.0,Training,0.3936
1051,0.806,1.224,20.751,78.025,10.6,1089.0,1.0,Training,0.7930000000000001
1052,0.67,1.224,20.751,78.025,10.0,1114.0,1.0,Training,0.775
1053,1.301,1.224,20.751,78.025,10.6,1040.0,1.0,Training,1.375
1054,1.532,1.224,20.751,78.025,10.0,1035.0,1.0,Training,1.4858000000000002
1055,1.121,1.224,20.751,78.025,9.5,1067.0,1.0,Training,1.3201
1056,1.14,1.224,20.751,78.025,7.6,1085.0,1.0,Training,1.3421000000000003
1057,0.342,1.224,20.751,78.025,9.9,1191.0,1.0,Training,0.34820000000000007
1058,0.373,1.224,20.751,78.025,9.4,1191.0,1.0,Training,0.34620000000000006
1059,0.338,1.224,20.751,78.025,8.7,1204.0,1.0,Training,0.40220000000000006
1060,1.053,1.224,20.751,78.025,11.5,1050.0,1.0,Training,1.2351999999999999
1061,0.332,1.224,20.751,78.025,24.8,1076.0,1.0,Training,0.2936
1062,0.16,1.224,20.751,78.025,23.7,1154.0,1.0,Training,0.1424
1063,0.216,1.224,20.751,78.025,24.6,1125.0,1.0,Training,0.21599999999999997
1065,0.974,1.224,20.751,78.025,24.4,966.0,1.0,Training,1.0264000000000002
1066,0.71,1.224,20.751,78.025,25.0,987.0,1.0,Training,0.7924
1067,0.525,1.224,20.751,78.025,24.8,1021.0,1.0,Training,0.5348
1069,0.181,0.616,20.87,78.505,9.9,1252.0,0.5,Training,0.19919999999999974
1070,0.265,0.616,20.87,78.505,10.1,1208.0,0.5,Training,0.2896
1071,0.857,0.616,20.87,78.505,10.1,1106.0,0.5,Training,0.7702
1073,0.53,0.616,20.87,78.505,10.5,1147.0,0.5,Training,0.5476000000000001
1074,0.833,0.616,20.87,78.505,11.3,1096.0,0.5,Training,0.8614000000000002
1076,2.044,0.616,20.87,78.505,10.7,1022.0,0.5,Training,1.9992000000000005
1077,1.233,0.616,20.87,78.505,9.7,1078.0,0.5,Training,1.4202
1079,0.148,0.616,20.87,78.505,25.0,1193.0,0.5,Training,0.128
1080,0.316,0.616,20.87,78.505,25.1,1128.0,0.5,Training,0.2905999999999999
1081,1.001,0.616,20.87,78.505,26.1,1010.0,0.5,Training,1.1086
1082,0.539,0.616,20.87,78.505,25.8,1078.0,0.5,Training,0.5315999999999995
1083,1.68,0.616,20.87,78.505,25.8,972.0,0.5,Training,1.6480000000000001
1084,0.241,0.616,20.87,78.505,22.6,1160.0,0.5,Training,0.23500000000000001
1085,3.081,0.616,20.87,78.505,20.0,790.0,0.5,Training,3.0046
1086,2.699,0.616,20.87,78.505,20.2,828.0,0.5,Training,2.8518
1088,3.311,0.616,20.87,78.505,19.6,883.0,0.5,Training,2.7572
1090,0.688,1.1521,20.7664,78.0815,10.6,1106.0,1.0,Training,0.663
1091,0.296,1.1521,20.7664,78.0815,10.2,1204.0,1.0,Training,0.27040000000000003
1092,0.175,1.1521,20.7664,78.0815,9.7,1264.0,1.0,Training,0.14279999999999998
1093,1.039,1.1521,20.7664,78.0815,11.0,1052.0,1.0,Training,1.1902799999999998
1094,1.534,1.1521,20.7664,78.0815,10.5,1013.0,1.0,Training,1.5706
1095,0.776,1.1521,20.7664,78.0815,10.9,1085.0,1.0,Training,0.83194
1096,0.648,1.1521,20.7664,78.0815,10.3,1115.0,1.0,Training,0.6476000000000001
1097,0.557,1.1521,20.7664,78.0815,24.0,1025.0,1.0,Training,0.5399999999999999
1098,0.656,1.1521,20.7664,78.0815,24.2,1005.0,1.0,Training,0.6510000000000001
1100,0.283,1.1521,20.7664,78.0815,23.2,1115.0,1.0,Training,0.2696
1101,0.197,1.1521,20.7664,78.0815,21.7,1170.0,1.0,Training,0.1672
1102,0.848,1.1521,20.7664,78.0815,24.4,976.0,1.0,Training,0.8732
1103,0.223,0.5794,20.8867,78.5339,9.7,1239.0,0.5,Training,0.27240000000000003
1104,1.058,0.5794,20.8867,78.5339,10.5,1082.0,0.5,Training,1.0116399999999979
1105,2.141,0.5794,20.8867,78.5339,10.3,1024.0,0.5,Training,2.1216
1106,0.455,0.5794,20.8867,78.5339,10.0,1164.0,0.5,Training,0.4366000000000001
1107,1.014,0.5794,20.8867,78.5339,9.7,1093.0,0.5,Training,0.9072
1108,0.886,0.5794,20.8867,78.5339,9.4,1103.0,0.5,Training,0.8802
1109,1.258,0.5794,20.8867,78.5339,10.2,1065.0,0.5,Training,1.5906399999999998
1110,0.343,0.5794,20.8867,78.5339,9.7,1199.0,0.5,Training,0.30540000000000006
1111,0.637,0.5794,20.8867,78.5339,10.2,1128.0,0.5,Training,0.8033600000000002
1112,1.333,0.5794,20.8867,78.5339,10.5,1056.0,0.5,Training,1.6056399999999997
1113,0.307,0.5794,20.8867,78.5339,25.3,1122.0,0.5,Training,0.28700000000000003
1114,0.511,0.5794,20.8867,78.5339,24.7,1066.0,0.5,Training,0.91054
1115,0.229,0.5794,20.8867,78.5339,24.1,1155.0,0.5,Training,0.24880000000000002
1116,0.849,0.5794,20.8867,78.5339,25.7,1013.0,0.5,Training,1.3712
1117,1.38,0.5794,20.8867,78.5339,26.4,977.0,0.5,Training,1.7886
1119,4.136,0.5794,20.8867,78.5339,16.0,785.0,0.5,Training,5.5632
1120,0.337,0.5794,20.8867,78.5339,20.3,885.0,0.5,Training,2.020199999999995
