Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
87,0.174,1.3,20.73,77.98,10.05,1224.6,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.19307399999999994
90,0.063,1.3,20.73,77.98,10.8,1306.3,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.08206999999999988
92,0.945,2.56,20.46,76.98,2.07,1169.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.0343599999999986
96,0.434,2.56,20.46,76.98,2.0,1300.2,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.4004699999999999
97,0.281,2.56,20.46,76.98,1.99,1347.0,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.25682999999999984
98,0.175,2.56,20.46,76.98,2.0,1402.6,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.2838650000000015
99,0.142,2.56,20.46,76.98,2.08,1487.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.1450650000000014
100,0.092,2.56,20.46,76.98,1.98,1544.4,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.13534500000000005
101,1.875,2.56,20.46,76.98,9.68,1020.8,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.5573039999999991
103,0.338,2.56,20.46,76.98,9.38,1136.9,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.8708629999999988
104,0.151,2.56,20.46,76.98,10.38,1218.1,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.25578999999999996
105,0.085,2.56,20.46,76.98,9.63,1279.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.17581000000000027
107,1.472,0.64,20.87,78.5,1.92,1131.9,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.5051800000000004
109,0.368,0.64,20.87,78.5,2.1,1229.6,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.4922700000000002
110,0.271,0.64,20.87,78.5,2.02,1294.0,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.3119200000000002
112,0.08,0.64,20.87,78.5,2.02,1408.6,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.12667
113,0.034,0.64,20.87,78.5,2.02,1511.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.052419999999999974
114,1.82,0.64,20.87,78.5,9.42,1025.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.7632259999999982
115,0.77,0.64,20.87,78.5,10.44,1099.3,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.9397240000000002
117,0.361,0.64,20.87,78.5,9.78,1174.0,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.3915439999999999
120,0.07,0.64,20.87,78.5,10.17,1310.0,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.10529600000000006
122,1.322,1.27,20.73,78.0,2.07,1123.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.290610000000001
123,0.954,1.27,20.73,78.0,2.08,1186.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.9714699999999988
125,0.353,1.27,20.73,78.0,2.0,1251.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.4217900000000006
127,0.235,1.27,20.73,78.0,2.02,1308.3,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.2886399999999999
129,0.095,1.27,20.73,78.0,1.9,1456.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.11574000000000009
130,0.052,1.27,20.73,78.0,2.06,1532.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.052999999999999825
131,0.035,1.27,20.73,78.0,2.09,1591.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.04431299499999985
132,1.2,1.27,20.73,78.0,10.07,1052.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.2761040000000012
135,0.342,1.27,20.73,78.0,9.25,1161.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.3730699999999996
136,0.249,1.27,20.73,78.0,9.47,1202.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.6533699999999999
137,0.122,1.27,20.73,78.0,10.14,1307.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.10752199999999996
138,0.046,1.27,20.73,78.0,9.55,1371.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.05401000000000002
139,0.012,1.27,20.73,78.0,10.63,1470.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.027090000000003087
140,1.238,2.5,20.48,77.03,2.01,1104.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.17766
142,0.665,2.5,20.48,77.03,1.97,1223.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.6089699999999997
143,0.393,2.5,20.48,77.03,2.1,1271.9,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.42168000000000044
147,0.068,2.5,20.48,77.03,1.93,1576.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.10590499999999992
148,1.36,2.5,20.48,77.03,10.23,1038.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.3711280000000003
150,0.484,2.5,20.48,77.03,10.57,1092.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.6693670000000005
153,0.197,2.5,20.48,77.03,10.12,1221.6,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.21691999999999978
154,0.137,2.5,20.48,77.03,9.45,1270.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.17394280000000012
156,0.046,2.5,20.48,77.03,10.2,1373.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.056570000000000016
158,0.692,0.64,20.87,78.5,10.84,1137.6,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.7024159999999999
161,0.372,0.64,20.87,78.5,9.81,1190.0,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.41359999999999986
164,0.118,0.64,20.87,78.5,9.94,1346.6,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.10815000000000005
165,0.074,0.64,20.87,78.5,10.32,1420.7,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.06903989999999995
166,0.036,0.64,20.87,78.5,10.3,1521.3,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.044853013999999664
168,0.93,1.27,20.73,78.0,9.72,1086.8,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.9805540000000014
170,0.408,1.27,20.73,78.0,10.31,1164.4,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.40383000000000024
171,0.246,1.27,20.73,78.0,9.48,1221.8,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.2312999999999998
172,0.116,1.27,20.73,78.0,10.24,1313.9,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.11509999999999991
173,0.086,1.27,20.73,78.0,9.49,1367.3,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.07887000000000007
174,0.054,1.27,20.73,78.0,9.88,1441.9,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.05065999999999995
175,1.404,2.5,20.48,77.03,10.25,1039.5,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,1.3786649999999991
177,0.446,2.5,20.48,77.03,10.77,1132.2,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.7538939999999995
179,0.148,2.5,20.48,77.03,9.73,1285.1,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.1655467999999999
180,0.07,2.5,20.48,77.03,9.82,1388.9,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.07033000000000002
181,0.052,2.5,20.48,77.03,10.61,1437.0,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.054069500000000444
183,1.17,0.64,20.87,78.5,9.85,1093.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,1.1880770000000005
185,0.5,0.64,20.87,78.5,10.25,1161.9,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.47029999999999994
187,0.25,0.64,20.87,78.5,10.01,1260.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.23047600000000004
189,0.152,0.64,20.87,78.5,10.5,1328.8,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.12998999999999983
191,0.069,0.64,20.87,78.5,9.59,1470.2,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.06225999999999997
193,1.128,1.27,20.73,78.0,10.55,1072.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,1.1878500000000005
