Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
113,0.034,0.64,20.87,78.5,2.02,1511.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.0376
114,1.82,0.64,20.87,78.5,9.42,1025.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.6604000000000003
116,0.444,0.64,20.87,78.5,10.23,1134.9,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.5966
118,0.22,0.64,20.87,78.5,9.96,1227.4,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.2096
120,0.07,0.64,20.87,78.5,10.17,1310.0,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.09140000000000001
122,1.322,1.27,20.73,78.0,2.07,1123.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.3704
123,0.954,1.27,20.73,78.0,2.08,1186.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.954
125,0.353,1.27,20.73,78.0,2.0,1251.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.44100000000000006
127,0.235,1.27,20.73,78.0,2.02,1308.3,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.3074
129,0.095,1.27,20.73,78.0,1.9,1456.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.0998
130,0.052,1.27,20.73,78.0,2.06,1532.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.0462
131,0.035,1.27,20.73,78.0,2.09,1591.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.04080000000000003
132,1.2,1.27,20.73,78.0,10.07,1052.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.3378
134,0.401,1.27,20.73,78.0,10.21,1129.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.5911999999999997
135,0.342,1.27,20.73,78.0,9.25,1161.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.3420000000000001
136,0.249,1.27,20.73,78.0,9.47,1202.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.24580000000000002
137,0.122,1.27,20.73,78.0,10.14,1307.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.11219999999999997
138,0.046,1.27,20.73,78.0,9.55,1371.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.0576
139,0.012,1.27,20.73,78.0,10.63,1470.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.04059999999997935
140,1.238,2.5,20.48,77.03,2.01,1104.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.2336000000000003
