Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set
47,0.198,2.47,77.05,10.24,1211.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training
48,0.082,2.47,77.05,9.43,1332.9,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Validation
49,0.067,2.47,77.05,9.3,1356.6,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training
50,1.335,0.65,78.48,2.03,1158.8,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training
52,0.759,0.65,78.48,1.91,1195.8,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Validation
53,0.389,0.65,78.48,1.9,1266.4,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training
54,0.204,0.65,78.48,2.07,1345.5,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training
55,0.149,0.65,78.48,1.96,1386.9,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Validation
56,0.12,0.65,78.48,1.97,1432.7,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training
57,0.058,0.65,78.48,1.99,1498.1,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training
58,0.059,0.65,78.48,2.02,1513.3,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Validation
59,1.7,0.65,78.48,10.16,1076.9,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Validation
60,0.799,0.65,78.48,10.2,1110.7,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training
