Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
237,1.464,1.25,20.74,78.01,3.1,1156.0,54.16239,25.76532,15.45842,20.07,Training,0.9055050673537164
238,0.188,1.25,20.74,78.01,2.92,1383.1,54.16239,25.76532,15.45842,20.07,Training,0.2619544163618516
239,0.646,1.25,20.74,78.01,10.67,1130.2,54.16239,25.76532,15.45842,20.07,Training,0.6862958825371173
242,0.114,1.25,20.74,78.01,10.35,1319.8,54.16239,25.76532,15.45842,20.07,Training,0.21771610203694375
243,0.058,1.25,20.74,78.01,10.26,1416.4,54.16239,25.76532,15.45842,20.07,Training,0.1726783234094278
244,0.3,1.25,20.74,78.01,10.05,1202.8,54.16239,25.76532,15.45842,20.07,Training,0.3216557310884728
248,1.418,2.47,20.48,77.05,3.27,1137.1,54.16239,25.76532,15.45842,20.07,Training,1.0903430396797194
249,0.39,2.47,20.48,77.05,2.9,1281.7,54.16239,25.76532,15.45842,20.07,Training,0.5050004563642579
251,0.166,2.47,20.48,77.05,2.97,1394.6,54.16239,25.76532,15.45842,20.07,Training,0.29139504521249465
252,0.08,2.47,20.48,77.05,3.11,1474.3,54.16239,25.76532,15.45842,20.07,Training,0.2571264424343864
256,0.482,2.47,20.48,77.05,10.97,1115.8,54.16239,25.76532,15.45842,20.07,Training,0.7373253002838518
257,1.021,2.47,20.48,77.05,10.34,1063.5,54.16239,25.76532,15.45842,20.07,Training,1.1859877564622663
259,0.056,2.47,20.48,77.05,10.22,1392.9,54.16239,25.76532,15.45842,20.07,Training,0.1757445396705166
260,0.084,2.47,20.48,77.05,10.54,1329.8,54.16239,25.76532,15.45842,20.07,Training,0.24002837992813972
261,0.278,2.47,20.48,77.05,10.2,1209.5,54.16239,25.76532,15.45842,20.07,Training,0.3266863281460886
262,1.519,0.64,20.86,78.5,2.95,1141.1,98.89731,1.09586,0.00683,24.82,Training,1.1038109075215061
263,0.849,0.64,20.86,78.5,3.03,1205.1,98.89731,1.09586,0.00683,24.82,Training,0.635749813100829
264,0.51,0.64,20.86,78.5,3.05,1259.3,98.89731,1.09586,0.00683,24.82,Training,0.4853164497685304
265,0.259,0.64,20.86,78.5,2.98,1320.9,98.89731,1.09586,0.00683,24.82,Training,0.3752515213636951
266,0.138,0.64,20.86,78.5,3.04,1409.0,98.89731,1.09586,0.00683,24.82,Training,0.2631030942999044
267,0.071,0.64,20.86,78.5,2.9,1475.0,98.89731,1.09586,0.00683,24.82,Training,0.24690112032276107
