Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
136,0.249,1.27,20.73,78.0,9.47,1202.1,32.882455,56.48979,8.091765,21.035,Training,0.2891000000000001
137,0.122,1.27,20.73,78.0,10.14,1307.7,32.882455,56.48979,8.091765,21.035,Training,0.12319999999999998
138,0.046,1.27,20.73,78.0,9.55,1371.7,32.882455,56.48979,8.091765,21.035,Training,0.04750000000000004
139,0.012,1.27,20.73,78.0,10.63,1470.8,32.882455,56.48979,8.091765,21.035,Training,0.0308
141,0.687,2.5,20.48,77.03,1.92,1180.5,32.882455,56.48979,8.091765,21.035,Training,0.7122999999999998
142,0.665,2.5,20.48,77.03,1.97,1223.5,32.882455,56.48979,8.091765,21.035,Training,0.6127999999999999
143,0.393,2.5,20.48,77.03,2.1,1271.9,32.882455,56.48979,8.091765,21.035,Training,0.37925000000000003
146,0.08,2.5,20.48,77.03,2.07,1526.9,32.882455,56.48979,8.091765,21.035,Training,0.09035
147,0.068,2.5,20.48,77.03,1.93,1576.1,32.882455,56.48979,8.091765,21.035,Training,0.09465000000000008
148,1.36,2.5,20.48,77.03,10.23,1038.5,32.882455,56.48979,8.091765,21.035,Training,1.4085999999999999
150,0.484,2.5,20.48,77.03,10.57,1092.2,32.882455,56.48979,8.091765,21.035,Training,1.4986000000000006
152,0.246,2.5,20.48,77.03,10.22,1170.7,32.882455,56.48979,8.091765,21.035,Training,0.2913500000000001
153,0.197,2.5,20.48,77.03,10.12,1221.6,32.882455,56.48979,8.091765,21.035,Training,0.19655
154,0.137,2.5,20.48,77.03,9.45,1270.7,32.882455,56.48979,8.091765,21.035,Training,0.15460000000000002
155,0.076,2.5,20.48,77.03,9.48,1320.8,32.882455,56.48979,8.091765,21.035,Training,0.09590000000000001
156,0.046,2.5,20.48,77.03,10.2,1373.5,32.882455,56.48979,8.091765,21.035,Training,0.05785000000000004
159,0.624,0.64,20.87,78.5,9.81,1147.1,22.00894,69.88772,3.61921,20.649,Training,0.5611999999999998
161,0.372,0.64,20.87,78.5,9.81,1190.0,22.00894,69.88772,3.61921,20.649,Training,0.37829999999999997
162,0.272,0.64,20.87,78.5,10.01,1230.4,22.00894,69.88772,3.61921,20.649,Training,0.2551500000000001
163,0.206,0.64,20.87,78.5,9.57,1274.8,22.00894,69.88772,3.61921,20.649,Training,0.19565
164,0.118,0.64,20.87,78.5,9.94,1346.6,22.00894,69.88772,3.61921,20.649,Training,0.10959999999999999
166,0.036,0.64,20.87,78.5,10.3,1521.3,22.00894,69.88772,3.61921,20.649,Training,0.041600000000000005
167,1.296,1.27,20.73,78.0,10.27,1060.9,22.00894,69.88772,3.61921,20.649,Training,1.30964
168,0.93,1.27,20.73,78.0,9.72,1086.8,22.00894,69.88772,3.61921,20.649,Training,0.9681
170,0.408,1.27,20.73,78.0,10.31,1164.4,22.00894,69.88772,3.61921,20.649,Training,0.3877000000000001
172,0.116,1.27,20.73,78.0,10.24,1313.9,22.00894,69.88772,3.61921,20.649,Training,0.12735000000000002
173,0.086,1.27,20.73,78.0,9.49,1367.3,22.00894,69.88772,3.61921,20.649,Training,0.08401000000000003
176,0.948,2.5,20.48,77.03,10.34,1063.3,22.00894,69.88772,3.61921,20.649,Training,1.16665
177,0.446,2.5,20.48,77.03,10.77,1132.2,22.00894,69.88772,3.61921,20.649,Training,0.43735
178,0.276,2.5,20.48,77.03,9.73,1186.5,22.00894,69.88772,3.61921,20.649,Training,0.28995
179,0.148,2.5,20.48,77.03,9.73,1285.1,22.00894,69.88772,3.61921,20.649,Training,0.14535000000000003
180,0.07,2.5,20.48,77.03,9.82,1388.9,22.00894,69.88772,3.61921,20.649,Training,0.06515000000000003
181,0.052,2.5,20.48,77.03,10.61,1437.0,22.00894,69.88772,3.61921,20.649,Training,0.04630000000000002
182,0.04,2.5,20.48,77.03,10.56,1486.1,22.00894,69.88772,3.61921,20.649,Training,0.042700000000000016
184,1.027,0.64,20.87,78.5,10.24,1111.0,36.82759,52.37689,4.31528,21.421,Training,0.8295099999999999
185,0.5,0.64,20.87,78.5,10.25,1161.9,36.82759,52.37689,4.31528,21.421,Training,0.46519999999999995
186,0.352,0.64,20.87,78.5,9.43,1227.4,36.82759,52.37689,4.31528,21.421,Training,0.2750000000000001
189,0.152,0.64,20.87,78.5,10.5,1328.8,36.82759,52.37689,4.31528,21.421,Training,0.13925000000000007
190,0.098,0.64,20.87,78.5,10.09,1405.7,36.82759,52.37689,4.31528,21.421,Training,0.08180000000000003
191,0.069,0.64,20.87,78.5,9.59,1470.2,36.82759,52.37689,4.31528,21.421,Training,0.0627
194,0.835,1.27,20.73,78.0,9.84,1091.0,36.82759,52.37689,4.31528,21.421,Training,0.9590500000000003
195,0.464,1.27,20.73,78.0,10.12,1155.7,36.82759,52.37689,4.31528,21.421,Training,0.42620000000000013
196,0.323,1.27,20.73,78.0,10.14,1207.1,36.82759,52.37689,4.31528,21.421,Training,0.3224000000000001
197,0.222,1.27,20.73,78.0,10.02,1251.1,36.82759,52.37689,4.31528,21.421,Training,0.18249999999999997
198,0.16,1.27,20.73,78.0,10.03,1301.8,36.82759,52.37689,4.31528,21.421,Training,0.1509
199,0.108,1.27,20.73,78.0,9.97,1357.9,36.82759,52.37689,4.31528,21.421,Training,0.09840000000000004
201,0.044,1.27,20.73,78.0,10.24,1517.0,36.82759,52.37689,4.31528,21.421,Training,0.0464649750000043
203,0.491,2.5,20.48,77.03,10.35,1114.9,36.82759,52.37689,4.31528,21.421,Training,0.5617
205,0.321,2.5,20.48,77.03,10.34,1165.2,36.82759,52.37689,4.31528,21.421,Training,0.32160000000000005
206,0.184,2.5,20.48,77.03,10.06,1253.3,36.82759,52.37689,4.31528,21.421,Training,0.16945000000000007
207,0.107,2.5,20.48,77.03,9.8,1348.3,36.82759,52.37689,4.31528,21.421,Training,0.10715
208,0.065,2.5,20.48,77.03,10.54,1443.5,36.82759,52.37689,4.31528,21.421,Training,0.06285000000000428
209,0.05,2.5,20.48,77.03,9.91,1493.8,36.82759,52.37689,4.31528,21.421,Training,0.056350000000000025
211,1.278,0.61,20.87,78.52,2.84,1171.5,54.16239,25.76532,15.45842,20.07,Training,1.2173000000000003
213,0.628,0.61,20.87,78.52,3.22,1237.6,54.16239,25.76532,15.45842,20.07,Training,0.6217500000000001
214,0.372,0.61,20.87,78.52,3.02,1304.5,54.16239,25.76532,15.45842,20.07,Training,0.33630000000000004
216,0.158,0.61,20.87,78.52,3.05,1411.6,54.16239,25.76532,15.45842,20.07,Training,0.14479999999999998
217,0.114,0.61,20.87,78.52,3.01,1451.9,54.16239,25.76532,15.45842,20.07,Training,0.11305000000000004
218,0.073,0.61,20.87,78.52,3.06,1513.3,54.16239,25.76532,15.45842,20.07,Training,0.06575
219,0.244,0.61,20.87,78.52,11.2,1261.3,54.16239,25.76532,15.45842,20.07,Training,0.22502895000000012
221,0.176,0.61,20.87,78.52,10.01,1300.3,54.16239,25.76532,15.45842,20.07,Training,0.16455000000000003
222,1.496,0.61,20.87,78.52,9.73,1087.5,54.16239,25.76532,15.45842,20.07,Training,1.722330000000001
224,0.09,0.61,20.87,78.52,9.89,1392.7,54.16239,25.76532,15.45842,20.07,Training,0.08475000000000002
225,0.062,0.61,20.87,78.52,9.98,1448.9,54.16239,25.76532,15.45842,20.07,Training,0.06415000000000003
226,0.704,0.61,20.87,78.52,9.3,1144.2,54.16239,25.76532,15.45842,20.07,Training,0.6729500000000002
227,0.5,0.61,20.87,78.52,9.84,1172.0,54.16239,25.76532,15.45842,20.07,Training,0.50533
230,0.106,1.25,20.74,78.01,3.32,1466.8,54.16239,25.76532,15.45842,20.07,Training,0.08190000000000003
231,0.24,1.25,20.74,78.01,2.73,1342.5,54.16239,25.76532,15.45842,20.07,Training,0.26525000000000004
234,0.396,1.25,20.74,78.01,2.97,1293.7,54.16239,25.76532,15.45842,20.07,Training,0.3702999999999999
236,0.724,1.25,20.74,78.01,3.13,1221.3,54.16239,25.76532,15.45842,20.07,Training,0.7005000000000001
237,1.464,1.25,20.74,78.01,3.1,1156.0,54.16239,25.76532,15.45842,20.07,Training,1.3003499999999997
238,0.188,1.25,20.74,78.01,2.92,1383.1,54.16239,25.76532,15.45842,20.07,Training,0.16625
239,0.646,1.25,20.74,78.01,10.67,1130.2,54.16239,25.76532,15.45842,20.07,Training,0.6090850000000003
240,0.492,1.25,20.74,78.01,9.19,1158.2,54.16239,25.76532,15.45842,20.07,Training,0.4475650000000001
242,0.114,1.25,20.74,78.01,10.35,1319.8,54.16239,25.76532,15.45842,20.07,Training,0.11190000000000003
243,0.058,1.25,20.74,78.01,10.26,1416.4,54.16239,25.76532,15.45842,20.07,Training,0.05778500000000003
244,0.3,1.25,20.74,78.01,10.05,1202.8,54.16239,25.76532,15.45842,20.07,Training,0.29029999999999995
247,0.514,2.47,20.48,77.05,3.3,1248.5,54.16239,25.76532,15.45842,20.07,Training,0.5925
248,1.418,2.47,20.48,77.05,3.27,1137.1,54.16239,25.76532,15.45842,20.07,Training,1.2724849999999996
250,0.251,2.47,20.48,77.05,3.16,1328.5,54.16239,25.76532,15.45842,20.07,Training,0.2628000000000001
251,0.166,2.47,20.48,77.05,2.97,1394.6,54.16239,25.76532,15.45842,20.07,Training,0.16475
252,0.08,2.47,20.48,77.05,3.11,1474.3,54.16239,25.76532,15.45842,20.07,Training,0.11125000000000003
254,0.81,2.47,20.48,77.05,2.92,1187.0,54.16239,25.76532,15.45842,20.07,Training,0.8976500000000001
255,0.346,2.47,20.48,77.05,9.43,1171.8,54.16239,25.76532,15.45842,20.07,Training,0.4192
256,0.482,2.47,20.48,77.05,10.97,1115.8,54.16239,25.76532,15.45842,20.07,Training,0.5212699999999999
257,1.021,2.47,20.48,77.05,10.34,1063.5,54.16239,25.76532,15.45842,20.07,Training,1.2060000000000004
