Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
294,0.192,2.5,20.48,77.02,2.93,1365.5,24.82,Training,0.1863500000000001
295,0.13,2.5,20.48,77.02,2.88,1414.1,24.82,Training,0.1448166666666667
296,0.072,2.5,20.48,77.02,2.97,1494.4,24.82,Training,0.10621666666666571
297,1.34,2.5,20.48,77.02,9.89,1045.8,24.82,Training,1.3029900000000014
298,0.783,2.5,20.48,77.02,10.08,1103.4,24.82,Training,0.7517333333333337
299,0.405,2.5,20.48,77.02,10.07,1173.3,24.82,Training,0.5881750000000001
300,0.245,2.5,20.48,77.02,10.19,1224.4,24.82,Training,0.4368333333333334
302,0.12,2.5,20.48,77.02,10.44,1323.9,24.82,Training,0.15471666666666578
303,0.064,2.5,20.48,77.02,10.32,1419.0,24.82,Training,0.4377416666666658
304,1.5,0.64,20.86,78.5,10.01,1100.6,21.29,Training,1.1739883333333334
305,0.734,0.64,20.86,78.5,9.92,1146.0,21.29,Training,0.7282500000000003
307,0.226,0.64,20.86,78.5,10.18,1269.8,21.29,Training,0.22108333333333346
308,0.152,0.64,20.86,78.5,10.26,1314.7,21.29,Training,0.13473333333333337
311,0.048,0.64,20.86,78.5,10.33,1473.0,21.29,Training,0.05318333333333702
312,1.296,1.27,20.73,78.0,9.91,1076.0,21.29,Training,1.1514233333333335
315,0.302,1.27,20.73,78.0,10.18,1208.8,21.29,Training,0.2822616666666664
316,0.174,1.27,20.73,78.0,9.52,1272.5,21.29,Training,0.17400666666666667
318,0.057,1.27,20.73,78.0,10.12,1407.4,21.29,Training,0.06519499999999999
320,9.57,2.5,20.48,77.02,9.57,1130.5,21.29,Training,7.651249999999996
322,10.14,2.5,20.48,77.02,10.14,1257.0,21.29,Training,9.165308333333327
323,10.27,2.5,20.48,77.02,10.27,1335.4,21.29,Training,8.37514166666666
325,10.05,2.5,20.48,77.02,10.05,1453.3,21.29,Training,7.588183333333338
327,0.959,0.64,20.87,78.5,10.5,1122.4,28.93,Training,0.8430903333333338
328,0.616,0.64,20.87,78.5,9.29,1163.0,28.93,Training,0.5207974166666663
329,0.304,0.64,20.87,78.5,9.8,1238.8,28.93,Training,0.2947166666666666
330,0.104,0.64,20.87,78.5,10.18,1360.7,28.93,Training,0.09215000000000007
331,0.064,0.64,20.87,78.5,9.68,1477.3,28.93,Training,0.06399233333333271
332,1.288,1.27,20.73,78.0,9.43,1074.3,28.93,Training,1.1900166666666656
333,0.548,1.27,20.73,78.0,10.01,1150.4,28.93,Training,0.5337500000000003
334,0.344,1.27,20.73,78.0,10.27,1213.6,28.93,Training,0.30890834999999983
335,0.174,1.27,20.73,78.0,9.92,1295.5,28.93,Training,0.17861631666666666
336,0.089,1.27,20.73,78.0,10.08,1405.1,28.93,Training,0.07811666666666704
337,0.053,1.27,20.73,78.0,9.91,1493.3,28.93,Training,0.05943596333333377
338,1.215,2.5,20.48,77.03,10.18,1067.0,28.93,Training,1.1483166666666675
340,0.266,2.5,20.48,77.03,10.12,1205.5,28.93,Training,0.3124749999999996
341,0.119,2.5,20.48,77.03,10.12,1306.5,28.93,Training,0.16960000000000003
342,0.04,2.5,20.48,77.03,9.85,1470.2,28.93,Training,0.07396403666667183
344,0.754,0.64,20.87,78.5,9.77,1138.8,26.77,Training,0.7770499999999997
346,0.298,0.64,20.87,78.5,9.7,1233.2,26.77,Training,0.28630333333333324
347,0.104,0.64,20.87,78.5,9.69,1330.9,26.77,Training,0.12070000000000002
349,0.053,0.64,20.87,78.5,9.74,1432.2,26.77,Training,0.06285333333333268
353,0.134,1.27,20.73,78.0,9.8,1288.6,26.77,Training,0.18033263333333335
354,0.055,1.27,20.73,78.0,9.82,1388.8,26.77,Training,0.06806666666666701
355,1.802,2.5,20.48,77.03,10.27,1060.5,26.77,Training,1.3192666666666677
356,0.902,2.5,20.48,77.03,10.16,1106.8,26.77,Training,0.8219366666666668
357,0.354,2.5,20.48,77.03,9.92,1195.9,26.77,Training,0.3939833333333331
359,0.124,2.5,20.48,77.03,10.56,1329.9,26.77,Training,0.2883500000000021
360,0.054,2.5,20.48,77.03,9.69,1449.5,26.77,Training,0.39337499999999886
361,7.565,0.346,20.94,78.72,21.1,892.0,19.91,Training,5.961986666666667
364,4.608,0.346,20.94,78.72,18.9,924.0,19.91,Training,4.846316666666668
367,1.525,0.346,20.94,78.72,21.3,1016.0,19.91,Training,1.4037916666666668
368,1.067,0.346,20.94,78.72,18.7,1041.0,19.91,Training,1.1378416666666664
369,1.094,0.346,20.94,78.72,22.3,1055.0,19.91,Training,1.0879250000000007
373,0.45,0.346,20.94,78.72,20.7,1133.0,19.91,Training,0.45603683333333306
374,0.272,0.346,20.94,78.72,20.9,1179.0,19.91,Training,0.28464575000000003
375,0.153,0.346,20.94,78.72,21.1,1230.0,19.91,Training,0.16528600000000002
377,0.075,0.346,20.94,78.72,20.5,1305.0,19.91,Training,0.1206027666666668
379,3.035,0.689,20.86,78.45,20.8,743.0,19.91,Training,3.207858333333332
380,3.594,0.689,20.86,78.45,19.6,785.0,19.91,Training,3.338499999999997
382,3.358,0.689,20.86,78.45,21.6,854.0,19.91,Training,3.0653666666666672
383,3.202,0.689,20.86,78.45,18.3,879.0,19.91,Training,3.4962083333333323
385,2.165,0.689,20.86,78.45,20.1,950.0,19.91,Training,1.984823333333335
387,1.163,0.689,20.86,78.45,19.8,1017.0,19.91,Training,1.0510833333333327
388,0.997,0.689,20.86,78.45,17.5,1031.0,19.91,Training,0.96625
391,0.609,0.689,20.86,78.45,20.8,1083.0,19.91,Training,0.5729450000000006
392,0.37,0.689,20.86,78.45,20.2,1113.0,19.91,Training,0.40901666666666675
394,0.196,0.689,20.86,78.45,21.0,1160.0,19.91,Training,0.1969666666666665
395,0.18,0.689,20.86,78.45,19.0,1179.0,19.91,Training,0.17769166666666658
396,0.156,0.689,20.86,78.45,22.5,1182.0,19.91,Training,0.16064999999999993
398,0.107,0.689,20.86,78.45,20.5,1215.0,19.91,Training,0.11733333333333339
401,0.056,0.689,20.86,78.45,21.4,1304.0,19.91,Training,0.08660000000000004
403,7.204,1.368,20.72,77.91,7.7,866.0,19.91,Training,5.7644616666666675
405,5.07,1.368,20.72,77.91,8.8,907.0,19.91,Training,4.402406666666664
407,2.486,1.368,20.72,77.91,8.4,968.0,19.91,Training,2.236391666666668
