Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
209,0.05,2.5,20.48,77.03,9.91,1493.8,21.421,Training,0.10701666189487646
210,1.462,0.61,20.87,78.52,2.77,1155.0,20.07,Training,1.13150019137867
212,0.848,0.61,20.87,78.52,3.01,1202.1,20.07,Training,0.8254283294927295
219,0.244,0.61,20.87,78.52,11.2,1261.3,20.07,Training,0.20341848752124092
221,0.176,0.61,20.87,78.52,10.01,1300.3,20.07,Training,0.16821378161214945
225,0.062,0.61,20.87,78.52,9.98,1448.9,20.07,Training,0.10701666189487646
226,0.704,0.61,20.87,78.52,9.3,1144.2,20.07,Training,0.553024838832275
229,0.28,1.25,20.74,78.01,3.17,1331.5,20.07,Training,0.18289898997578638
232,0.084,1.25,20.74,78.01,3.0,1499.3,20.07,Training,0.14478146189487706
235,0.426,1.25,20.74,78.01,3.24,1282.5,20.07,Training,0.31098062388487785
236,0.724,1.25,20.74,78.01,3.13,1221.3,20.07,Training,0.4621539078773449
237,1.464,1.25,20.74,78.01,3.1,1156.0,20.07,Training,1.050891495726496
239,0.646,1.25,20.74,78.01,10.67,1130.2,20.07,Training,0.45019367742667654
240,0.492,1.25,20.74,78.01,9.19,1158.2,20.07,Training,0.4026188068164649
243,0.058,1.25,20.74,78.01,10.26,1416.4,20.07,Training,0.10701666189487646
246,0.07,1.25,20.74,78.01,10.65,1389.2,20.07,Training,0.10701666189487646
247,0.514,2.47,20.48,77.05,3.3,1248.5,20.07,Training,0.31098062388487785
252,0.08,2.47,20.48,77.05,3.11,1474.3,20.07,Training,0.14478146189487706
256,0.482,2.47,20.48,77.05,10.97,1115.8,20.07,Training,0.5827616168643116
257,1.021,2.47,20.48,77.05,10.34,1063.5,20.07,Training,1.388470821275687
259,0.056,2.47,20.48,77.05,10.22,1392.9,20.07,Training,0.10701666189487646
260,0.084,2.47,20.48,77.05,10.54,1329.8,20.07,Training,0.14513418997578573
262,1.519,0.64,20.86,78.5,2.95,1141.1,24.82,Training,1.13150019137867
263,0.849,0.64,20.86,78.5,3.03,1205.1,24.82,Training,0.649012944877345
